时序,字1,字1_拼音,字1_辅音1,字1_元音1,字1_辅音2,字1_元音2,字2,字2_拼音,字2_辅音1,字2_元音1,字2_辅音2,字2_元音2,字3,字3_拼音,字3_辅音1,字3_元音1,字3_辅音2,字3_元音2,字4,字4_拼音,字4_辅音1,字4_元音1,字4_辅音2,字4_元音2,辅_b,辅_p,辅_m,辅_f,辅_d,辅_t,辅_n,辅_l,辅_g,辅_k,辅_h,辅_j,辅_q,辅_x,辅_zh,辅_ch,辅_sh,辅_r,辅_z,辅_c,辅_s,辅_y,辅_w,辅_ng,辅_∅,元_a,元_o,元_e,元_i,元_u,元_ü
7,弘,hong,h,o,ng,,达,da,d,a,,,芙,fu,f,u,,,邸,di,d,i,,,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0
7,爱,ai,∅,a,,i,伦,lun,l,u,n,,爱,ai,∅,a,,i,仆,pu,p,u,,,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
7,格,ge,g,e,,,伦,lun,l,u,n,,巴,ba,b,a,,,德,de,d,e,,,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
8,修,xiu,x,i,,u,姆,mu,m,u,,,邸,di,d,i,,,仆,pu,p,u,,,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
8,格,ge,g,e,,,林,lin,l,i,n,,札,zha,zh,a,,,德,de,d,e,,,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
8,吽,hong,h,o,ng,,托,tuo,t,u,,o,梵,fan,f,a,n,,卜,bo,b,o,,,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
9,希,xi,x,i,,,利,li,l,i,,,札,zha,zh,a,,,哈,ha,h,a,,,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
9,米,mi,m,i,,,尔,er,∅,e,r,,特,te,t,e,,,林,lin,l,i,n,,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
9,几,ji,j,i,,,仆,pu,p,u,,,几,ji,j,i,,,仆,pu,p,u,,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
10,提,ti,t,i,,,罗,luo,l,u,,o,梵,fan,f,a,n,,陀,tuo,t,u,,o,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
10,吡,bi,b,i,,,罗,luo,l,u,,o,梵,fan,f,a,n,,陀,tuo,t,u,,o,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
10,盎,ang,∅,a,ng,,罗,luo,l,u,,o,梵,fan,f,a,n,,德,de,d,e,,,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0
